Name,Status,7/11/93,10/21/07,10/22/17,6/30/22
Canta,Province,10996,13513,12608,11449
Huaral,Province,126025,164660,197963,200847
Huarochirí,Province,59057,72845,62854,61586
Huaura,Province,163174,197384,243597,249997
Lima,Region-level Province,5706127,7605742,9162322,10004141
Oyón,Province,17279,20642,18756,16852
Yauyos,Province,27746,27501,22200,18949
Loreto,Region,687282,891732,981897,1044884
Alto Amazonas,Province,82946,104667,137115,155236
Datem del Marañón,Province,30958,49571,56698,60822
Loreto,Province,49362,62165,68681,73271
Mariscal Ramón Castilla,Province,32900,54829,57366,59953
Maynas,Province,385415,483458,527866,559603
Putumayo (? Maynas),Province,6463,9534,9093,9078
Requena,Province,53676,65692,63714,64100
Ucayali,Province,45562,61816,61364,62821
Madre de Dios,Region,67008,109555,161204,185478
Manu,Province,13827,20290,21383,21200
Tahuamanu,Province,6443,10742,12310,12717
Tambopata,Province,46738,78523,127511,151561
Moquegua,Region,128747,161533,182017,197337
General Sánchez Cerro,Province,19327,24904,16012,13614
Ilo,Province,51481,63780,77158,85806
Mariscal Nieto,Province,57939,72849,88847,97917
Pasco,Region,226295,280449,272136,269296
Daniel Alcides Carrión,Province,36098,47803,46287,45421
Oxapampa,Province,60298,81929,96169,102429
Pasco,Province,129899,150717,129680,121446
Piura,Region,1388264,1676315,1929970,2103099
Ayabaca,Province,131310,138403,127735,126550
Huancabamba,Province,117459,124298,117747,117899
Morropón,Province,163052,159693,167461,174921
Paita,Province,76070,108535,136708,154470
Piura,Province,502339,665991,828343,929063
Sechura,Province,42568,62319,81612,94207
Sullana,Province,234562,287680,324116,348478
Talara,Province,120904,129396,146248,157511
Puno,Region,1079849,1268441,1226936,1226353
Azángaro,Province,138998,136829,115672,109293
Carabaya,Province,46777,73946,77055,79766
Chucuito,Province,93001,126259,94023,85265
El Collao,Province,75456,81059,68402,64354
Huancané,Province,80317,69522,60379,57406
Lampa,Province,43461,48223,43207,41348
Melgar,Province,72005,74735,69984,68510
Moho,Province,33320,27819,20510,18445
Puno,Province,201205,229236,227665,224425
San Antonio de Putina,Province,28475,50490,37163,33233
Sandia,Province,50042,62147,56720,54952
San Román,Province,168534,240776,317510,353070
Yunguyo,Province,48258,47400,38646,36286
San Martín,Region,552387,728808,862459,924384
Bellavista,Province,34414,49293,58370,62564
El Dorado,Province,23409,33638,40917,44342
Huallaga,Province,22236,24448,28871,30906
Lamas,Province,67253,79075,86748,89673
Mariscal Cáceres,Province,49798,50884,67993,77023
Moyobamba,Province,69943,115389,129909,135911
Picota,Province,26955,37721,42712,44848
Rioja,Province,69787,104882,125913,135554
San Martín,Province,118069,161132,205362,226393
Tocache,Province,70523,72346,75664,77170
Tacna,Region,218353,288781,349056,384222
Candarave,Province,9238,8373,6450,6062
Jorge Basadre,Province,12175,9872,11808,13115
Tacna,Province,188759,262731,324419,358935
Tarata,Province,8181,7805,6379,6110
Tumbes,Region,155521,200306,234698,259556
Contralmirante Villar,Province,13361,16914,21906,25361
Tumbes,Province,115406,142338,161369,175684
Zarumilla,Province,26754,41054,51423,58511
Ucayali,Region,314810,432159,548998,615024
Atalaya,Province,28290,43933,57591,63844
Coronel Portillo,Province,248449,333890,418055,466369
Padre Abad,Province,35539,50590,70006,81541
Purús,Province,2532,3746,3346,3270
