,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2013-01-31,0.9981713,-3.1140757,-2.466425,-1.9094095,-1.2672064,-0.833915,-0.48954874,-0.19411315,0.07119713,0.31704664,0.5503338,0.7760418,0.9981713,1.2203008,1.4460088,1.679296,1.9251455,2.190456,2.4858913,2.8302577,3.263549,3.9057522,4.4627676,5.1104183
1,2013-02-28,1.2283125,-2.8839345,-2.2362838,-1.6792684,-1.0370653,-0.60377383,-0.25940758,0.036028005,0.3013383,0.5471878,0.78047496,1.006183,1.2283125,1.450442,1.67615,1.9094372,2.1552868,2.420597,2.7160325,3.0603988,3.4936903,4.1358933,4.692909,5.3405595
2,2013-03-31,1.2188789,-2.8933682,-2.2457173,-1.688702,-1.0464989,-0.61320746,-0.2688412,0.026594378,0.29190466,0.5377542,0.77104133,0.99674934,1.2188789,1.4410083,1.6667163,1.9000036,2.145853,2.4111633,2.706599,3.0509653,3.4842565,4.1264596,4.683475,5.3311257
3,2013-04-30,1.8840619,-2.2281852,-1.5805343,-1.0235189,-0.3813158,0.0519756,0.39634186,0.69177747,0.95708776,1.2029372,1.4362245,1.6619325,1.8840619,2.1061914,2.3318994,2.5651865,2.811036,3.0763464,3.371782,3.7161484,4.14944,4.7916427,5.348658,5.996309
4,2013-05-31,1.9723783,-2.1398687,-1.492218,-0.93520254,-0.29299948,0.14029193,0.48465818,0.7800938,1.0454041,1.2912536,1.5245408,1.7502488,1.9723783,2.1945078,2.4202158,2.653503,2.8993526,3.1646628,3.4600983,3.8044646,4.237756,4.879959,5.4369745,6.0846252
5,2013-06-30,1.5429951,-2.569252,-1.9216012,-1.3645858,-0.7223826,-0.28909123,0.055275023,0.3507106,0.6160209,0.8618704,1.0951576,1.3208656,1.5429951,1.7651246,1.9908326,2.2241197,2.4699693,2.7352796,3.0307152,3.3750815,3.8083727,4.450576,5.0075912,5.655242
6,2013-07-31,1.1000937,-3.0121534,-2.3645024,-1.8074871,-1.165284,-0.7319926,-0.38762635,-0.092190765,0.17311953,0.41896904,0.6522562,0.8779642,1.1000937,1.3222232,1.5479312,1.7812184,2.027068,2.2923782,2.5878139,2.9321802,3.3654714,4.0076747,4.56469,5.212341
7,2013-08-31,1.3970908,-2.7151563,-2.0675054,-1.5104901,-0.8682869,-0.43499553,-0.09062928,0.20480631,0.4701166,0.7159661,0.94925326,1.1749613,1.3970908,1.6192203,1.8449283,2.0782154,2.324065,2.5893753,2.884811,3.2291772,3.6624684,4.304672,4.861687,5.509338
8,2013-09-30,1.0810719,-3.0311751,-2.3835244,-1.826509,-1.1843059,-0.7510145,-0.40664822,-0.11121263,0.15409766,0.39994717,0.6332343,0.85894233,1.0810719,1.3032013,1.5289093,1.7621965,2.0080462,2.2733564,2.5687919,2.9131582,3.3464496,3.9886527,4.545668,5.193319
9,2013-10-31,1.1712762,-2.940971,-2.29332,-1.7363046,-1.0941015,-0.6608101,-0.31644386,-0.021008275,0.24430202,0.49015152,0.7234387,0.9491467,1.1712762,1.3934057,1.6191137,1.8524009,2.0982504,2.3635607,2.6589963,3.0033627,3.4366539,4.078857,4.6358724,5.283523
10,2013-11-30,1.4541392,-2.6581078,-2.010457,-1.4534416,-0.81123847,-0.3779471,-0.03358084,0.26185474,0.52716506,0.77301455,1.0063018,1.2320098,1.4541392,1.6762687,1.9019767,2.135264,2.3811135,2.6464238,2.9418592,3.2862256,3.719517,4.36172,4.9187355,5.566386
11,2013-12-31,1.0697153,-3.0425317,-2.394881,-1.8378656,-1.1956625,-0.76237106,-0.4180048,-0.122569226,0.14274107,0.38859057,0.62187773,0.84758574,1.0697153,1.2918447,1.5175527,1.75084,1.9966894,2.2619998,2.5574353,2.9018016,3.335093,3.977296,4.5343113,5.1819625
12,2014-01-31,0.76849496,-3.3437521,-2.6961012,-2.1390858,-1.4968828,-1.0635914,-0.7192251,-0.42378953,-0.15847923,0.087370284,0.32065743,0.54636544,0.76849496,0.9906245,1.2163324,1.4496197,1.6954691,1.9607794,2.256215,2.6005814,3.0338726,3.6760757,4.2330914,4.880742
13,2014-02-28,0.98794407,-3.1243029,-2.4766521,-1.9196367,-1.2774336,-0.84414226,-0.499776,-0.20434041,0.060969867,0.30681938,0.54010653,0.76581454,0.98794407,1.2100736,1.4357816,1.6690687,1.9149183,2.1802285,2.4756641,2.8200305,3.253322,3.895525,4.4525404,5.100191
14,2014-03-31,1.0035055,-3.1087415,-2.4610908,-1.9040754,-1.2618723,-0.82858086,-0.4842146,-0.18877901,0.07653127,0.32238078,0.55566794,0.78137594,1.0035055,1.2256349,1.4513429,1.6846302,1.9304796,2.19579,2.4912255,2.8355918,3.2688832,3.9110863,4.4681015,5.1157527
15,2014-04-30,1.4299753,-2.6822717,-2.034621,-1.4776056,-0.8354024,-0.40211105,-0.0577448,0.23769079,0.5030011,0.7488506,0.98213774,1.2078458,1.4299753,1.6521047,1.8778127,2.1111,2.3569496,2.6222599,2.9176953,3.2620616,3.695353,4.337556,4.8945713,5.5422225
16,2014-05-31,1.4343748,-2.6778722,-2.0302215,-1.473206,-0.8310029,-0.39771152,-0.053345263,0.24209033,0.50740063,0.7532501,0.9865373,1.2122453,1.4343748,1.6565043,1.8822123,2.1154995,2.361349,2.6266594,2.9220948,3.2664611,3.6997526,4.3419557,4.898971,5.546622
17,2014-06-30,1.1498777,-2.9623694,-2.3147185,-1.7577032,-1.1155001,-0.68220866,-0.3378424,-0.04240682,0.22290348,0.46875298,0.70204014,0.92774814,1.1498777,1.3720071,1.5977151,1.8310024,2.0768518,2.3421621,2.6375978,2.981964,3.4152553,4.0574584,4.614474,5.2621245
18,2014-07-31,0.7496533,-3.3625937,-2.714943,-2.1579275,-1.5157244,-1.0824331,-0.7380668,-0.4426312,-0.17732091,0.0685286,0.30181575,0.52752376,0.7496533,0.9717828,1.1974908,1.4307779,1.6766275,1.9419378,2.2373734,2.5817397,3.015031,3.6572342,4.2142496,4.8619003
19,2014-08-31,0.42752334,-3.6847236,-3.037073,-2.4800575,-1.8378544,-1.404563,-1.0601968,-0.76476115,-0.49945086,-0.25360134,-0.020314181,0.20539384,0.42752334,0.64965284,0.87536085,1.1086481,1.3544976,1.6198078,1.9152434,2.2596097,2.6929011,3.3351042,3.8921196,4.5397706
20,2014-09-30,0.1670306,-3.9452164,-3.2975657,-2.7405503,-2.0983472,-1.6650558,-1.3206894,-1.0252539,-0.7599436,-0.51409405,-0.28080693,-0.055098902,0.1670306,0.3891601,0.6148681,0.84815526,1.0940048,1.359315,1.6547507,1.9991169,2.4324083,3.0746114,3.6316268,4.279278
21,2014-10-31,0.11604273,-3.9962044,-3.3485534,-2.791538,-2.149335,-1.7160436,-1.3716774,-1.0762417,-0.81093144,-0.56508195,-0.3317948,-0.106086776,0.11604273,0.33817223,0.56388026,0.7971674,1.0430169,1.3083272,1.6037629,1.948129,2.3814204,3.0236235,3.580639,4.2282896
22,2014-11-30,0.29708117,-3.8151658,-3.167515,-2.6104996,-1.9682965,-1.5350052,-1.1906389,-0.8952033,-0.629893,-0.3840435,-0.15075636,0.07495166,0.29708117,0.5192107,0.7449187,0.97820586,1.2240554,1.4893657,1.7848012,2.1291676,2.562459,3.204662,3.7616775,4.409328
23,2014-12-31,0.20575103,-3.906496,-3.258845,-2.7018297,-2.0596266,-1.6263353,-1.2819691,-0.98653346,-0.7212232,-0.47537366,-0.2420865,-0.016378473,0.20575103,0.42788053,0.65358853,0.8868757,1.1327252,1.3980355,1.6934711,2.0378373,2.4711287,3.1133318,3.6703472,4.317998
24,2015-01-31,1.8327664,-2.2794807,-1.6318299,-1.0748144,-0.43261132,0.0006800824,0.34504634,0.64048195,0.90579224,1.1516417,1.384929,1.610637,1.8327664,2.0548959,2.280604,2.513891,2.7597406,3.0250509,3.3204865,3.6648529,4.098144,4.7403474,5.297363,5.9450135
25,2015-02-28,2.206929,-1.905318,-1.2576673,-0.7006518,-0.05844875,0.37484264,0.7192089,1.0146445,1.2799548,1.5258043,1.7590915,1.9847995,2.206929,2.4290586,2.6547666,2.8880537,3.1339033,3.3992136,3.694649,4.0390153,4.4723067,5.1145096,5.671525,6.319176
26,2015-03-31,2.3225605,-1.7896864,-1.1420357,-0.58502024,0.05718283,0.49047422,0.8348405,1.1302761,1.3955864,1.6414359,1.8747231,2.100431,2.3225605,2.5446901,2.7703981,3.0036852,3.2495348,3.5148451,3.8102806,4.154647,4.5879383,5.230141,5.7871566,6.434808
27,2015-04-30,2.7050526,-1.4071944,-0.7595436,-0.20252821,0.43967488,0.8729663,1.2173325,1.5127681,1.7780784,2.023928,2.257215,2.482923,2.7050526,2.9271822,3.1528902,3.3861773,3.632027,3.8973372,4.192773,4.537139,4.9704304,5.612633,6.1696486,6.8173
28,2015-05-31,2.4757137,-1.6365333,-0.9888825,-0.4318671,0.21033601,0.6436274,0.98799366,1.2834293,1.5487396,1.794589,2.0278761,2.2535841,2.4757137,2.6978433,2.9235513,3.1568384,3.402688,3.6679983,3.9634337,4.3078003,4.7410913,5.3832946,5.94031,6.5879607
29,2015-06-30,2.3076541,-1.8045928,-1.1569421,-0.59992665,0.042276423,0.47556782,0.81993407,1.1153697,1.38068,1.6265295,1.8598167,2.0855246,2.3076541,2.5297837,2.7554917,2.9887788,3.2346284,3.4999387,3.7953742,4.1397405,4.573032,5.2152348,5.77225,6.4199014
30,2015-07-31,1.777012,-2.335235,-1.6875843,-1.1305689,-0.48836574,-0.05507434,0.28929192,0.5847275,0.8500378,1.0958873,1.3291745,1.5548825,1.777012,1.9991415,2.2248495,2.4581366,2.7039862,2.9692965,3.2647321,3.6090984,4.04239,4.6845927,5.241608,5.889259
31,2015-08-31,1.566558,-2.545689,-1.8980383,-1.3410228,-0.6988197,-0.26552832,0.07883793,0.3742735,0.6395838,0.8854333,1.1187205,1.3444285,1.566558,1.7886875,2.0143955,2.2476826,2.4935322,2.7588425,3.0542781,3.3986444,3.8319356,4.4741387,5.031154,5.678805
32,2015-09-30,1.5257374,-2.5865097,-1.9388589,-1.3818434,-0.7396403,-0.30634892,0.038017333,0.3334529,0.5987632,0.8446127,1.0778999,1.303608,1.5257374,1.7478669,1.9735749,2.206862,2.4527116,2.7180219,3.0134575,3.3578238,3.791115,4.433318,4.9903336,5.6379843
