,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2013-01-31,0.042117815,-2.6858304,-2.2561972,-1.886689,-1.4606696,-1.1732364,-0.9447936,-0.74880993,-0.57281065,-0.40972102,-0.25496492,-0.105236605,0.042117815,0.18947224,0.33920056,0.49395666,0.65704626,0.8330456,1.0290291,1.257472,1.5449053,1.9709246,2.340433,2.770066
1,2013-02-28,0.031714827,-2.6962335,-2.2666001,-1.897092,-1.4710726,-1.1836394,-0.95519656,-0.759213,-0.5832136,-0.420124,-0.2653679,-0.1156396,0.031714827,0.17906925,0.32879755,0.48355365,0.6466433,0.8226426,1.0186262,1.247069,1.5345023,1.9605216,2.33003,2.759663
2,2013-03-31,0.037645407,-2.6903028,-2.2606697,-1.8911613,-1.465142,-1.1777087,-0.94926596,-0.75328237,-0.577283,-0.41419342,-0.25943732,-0.10970902,0.037645407,0.18499982,0.33472815,0.48948422,0.6525738,0.82857317,1.0245568,1.2529995,1.5404328,1.9664522,2.3359604,2.7655938
3,2013-04-30,0.031794667,-2.6961536,-2.2665203,-1.8970121,-1.4709928,-1.1835595,-0.9551167,-0.7591331,-0.58313376,-0.42004415,-0.26528805,-0.11555976,0.031794667,0.17914909,0.3288774,0.4836335,0.6467231,0.82272243,1.0187061,1.2471489,1.5345821,1.9606014,2.3301096,2.759743
4,2013-05-31,0.040578015,-2.6873703,-2.257737,-1.8882288,-1.4622095,-1.1747762,-0.94633335,-0.75034976,-0.5743504,-0.4112608,-0.2565047,-0.10677641,0.040578015,0.18793243,0.33766076,0.49241683,0.65550643,0.8315058,1.0274894,1.2559322,1.5433655,1.9693848,2.3388932,2.7685263
5,2013-06-30,0.038014688,-2.6899335,-2.2603004,-1.8907921,-1.4647727,-1.1773396,-0.9488967,-0.75291306,-0.5769138,-0.41382414,-0.25906804,-0.10933974,0.038014688,0.1853691,0.33509743,0.4898535,0.65294313,0.8289425,1.0249261,1.2533689,1.5408021,1.9668214,2.3363297,2.7659628
6,2013-07-31,0.04572822,-2.68222,-2.2525868,-1.8830786,-1.4570593,-1.169626,-0.94118315,-0.74519956,-0.5692002,-0.4061106,-0.25135452,-0.1016262,0.04572822,0.19308265,0.34281096,0.49756706,0.66065663,0.836656,1.0326396,1.2610824,1.5485157,1.974535,2.3440433,2.7736764
7,2013-08-31,0.052300114,-2.6756482,-2.2460148,-1.8765067,-1.4504874,-1.1630541,-0.93461126,-0.7386277,-0.5626283,-0.39953873,-0.24478263,-0.095054306,0.052300114,0.19965453,0.34938285,0.50413895,0.6672286,0.84322786,1.0392115,1.2676543,1.5550876,1.9811069,2.3506153,2.7802484
8,2013-09-30,0.041105222,-2.686843,-2.2572098,-1.8877015,-1.4616822,-1.1742489,-0.94580615,-0.74982256,-0.5738232,-0.4107336,-0.2559775,-0.1062492,0.041105222,0.18845965,0.33818796,0.49294406,0.65603364,0.832033,1.0280166,1.2564595,1.5438926,1.969912,2.3394203,2.7690535
9,2013-10-31,0.04058794,-2.6873603,-2.2577271,-1.8882189,-1.4621994,-1.1747663,-0.94632345,-0.7503398,-0.5743405,-0.4112509,-0.2564948,-0.106766485,0.04058794,0.18794236,0.33767068,0.49242675,0.6555164,0.8315157,1.0274993,1.2559421,1.5433754,1.9693947,2.338903,2.768536
10,2013-11-30,0.018407064,-2.709541,-2.279908,-1.9103997,-1.4843804,-1.1969471,-0.9685043,-0.7725207,-0.5965214,-0.43343177,-0.27867568,-0.12894736,0.018407064,0.16576149,0.3154898,0.4702459,0.6333355,0.8093348,1.0053184,1.2337613,1.5211945,1.9472139,2.3167222,2.7463553
11,2013-12-31,0.026241297,-2.701707,-2.2720737,-1.9025655,-1.4765462,-1.1891129,-0.96067005,-0.76468647,-0.5886871,-0.42559752,-0.27084145,-0.12111313,0.026241297,0.17359573,0.32332402,0.47808012,0.6411697,0.8171691,1.0131527,1.2415955,1.5290288,1.9550481,2.3245564,2.7541895
12,2014-01-31,0.042117815,-2.6858304,-2.2561972,-1.886689,-1.4606696,-1.1732364,-0.9447936,-0.74880993,-0.57281065,-0.40972102,-0.25496492,-0.105236605,0.042117815,0.18947224,0.33920056,0.49395666,0.65704626,0.8330456,1.0290291,1.257472,1.5449053,1.9709246,2.340433,2.770066
13,2014-02-28,0.031714827,-2.6962335,-2.2666001,-1.897092,-1.4710726,-1.1836394,-0.95519656,-0.759213,-0.5832136,-0.420124,-0.2653679,-0.1156396,0.031714827,0.17906925,0.32879755,0.48355365,0.6466433,0.8226426,1.0186262,1.247069,1.5345023,1.9605216,2.33003,2.759663
14,2014-03-31,0.037645407,-2.6903028,-2.2606697,-1.8911613,-1.465142,-1.1777087,-0.94926596,-0.75328237,-0.577283,-0.41419342,-0.25943732,-0.10970902,0.037645407,0.18499982,0.33472815,0.48948422,0.6525738,0.82857317,1.0245568,1.2529995,1.5404328,1.9664522,2.3359604,2.7655938
15,2014-04-30,0.031794667,-2.6961536,-2.2665203,-1.8970121,-1.4709928,-1.1835595,-0.9551167,-0.7591331,-0.58313376,-0.42004415,-0.26528805,-0.11555976,0.031794667,0.17914909,0.3288774,0.4836335,0.6467231,0.82272243,1.0187061,1.2471489,1.5345821,1.9606014,2.3301096,2.759743
16,2014-05-31,0.040578015,-2.6873703,-2.257737,-1.8882288,-1.4622095,-1.1747762,-0.94633335,-0.75034976,-0.5743504,-0.4112608,-0.2565047,-0.10677641,0.040578015,0.18793243,0.33766076,0.49241683,0.65550643,0.8315058,1.0274894,1.2559322,1.5433655,1.9693848,2.3388932,2.7685263
17,2014-06-30,0.038014688,-2.6899335,-2.2603004,-1.8907921,-1.4647727,-1.1773396,-0.9488967,-0.75291306,-0.5769138,-0.41382414,-0.25906804,-0.10933974,0.038014688,0.1853691,0.33509743,0.4898535,0.65294313,0.8289425,1.0249261,1.2533689,1.5408021,1.9668214,2.3363297,2.7659628
18,2014-07-31,0.04572822,-2.68222,-2.2525868,-1.8830786,-1.4570593,-1.169626,-0.94118315,-0.74519956,-0.5692002,-0.4061106,-0.25135452,-0.1016262,0.04572822,0.19308265,0.34281096,0.49756706,0.66065663,0.836656,1.0326396,1.2610824,1.5485157,1.974535,2.3440433,2.7736764
19,2014-08-31,0.052300114,-2.6756482,-2.2460148,-1.8765067,-1.4504874,-1.1630541,-0.93461126,-0.7386277,-0.5626283,-0.39953873,-0.24478263,-0.095054306,0.052300114,0.19965453,0.34938285,0.50413895,0.6672286,0.84322786,1.0392115,1.2676543,1.5550876,1.9811069,2.3506153,2.7802484
20,2014-09-30,0.041105222,-2.686843,-2.2572098,-1.8877015,-1.4616822,-1.1742489,-0.94580615,-0.74982256,-0.5738232,-0.4107336,-0.2559775,-0.1062492,0.041105222,0.18845965,0.33818796,0.49294406,0.65603364,0.832033,1.0280166,1.2564595,1.5438926,1.969912,2.3394203,2.7690535
21,2014-10-31,0.04058794,-2.6873603,-2.2577271,-1.8882189,-1.4621994,-1.1747663,-0.94632345,-0.7503398,-0.5743405,-0.4112509,-0.2564948,-0.106766485,0.04058794,0.18794236,0.33767068,0.49242675,0.6555164,0.8315157,1.0274993,1.2559421,1.5433754,1.9693947,2.338903,2.768536
22,2014-11-30,0.018407064,-2.709541,-2.279908,-1.9103997,-1.4843804,-1.1969471,-0.9685043,-0.7725207,-0.5965214,-0.43343177,-0.27867568,-0.12894736,0.018407064,0.16576149,0.3154898,0.4702459,0.6333355,0.8093348,1.0053184,1.2337613,1.5211945,1.9472139,2.3167222,2.7463553
23,2014-12-31,0.026241297,-2.701707,-2.2720737,-1.9025655,-1.4765462,-1.1891129,-0.96067005,-0.76468647,-0.5886871,-0.42559752,-0.27084145,-0.12111313,0.026241297,0.17359573,0.32332402,0.47808012,0.6411697,0.8171691,1.0131527,1.2415955,1.5290288,1.9550481,2.3245564,2.7541895
24,2015-01-31,0.042117815,-2.6858304,-2.2561972,-1.886689,-1.4606696,-1.1732364,-0.9447936,-0.74880993,-0.57281065,-0.40972102,-0.25496492,-0.105236605,0.042117815,0.18947224,0.33920056,0.49395666,0.65704626,0.8330456,1.0290291,1.257472,1.5449053,1.9709246,2.340433,2.770066
25,2015-02-28,0.031714827,-2.6962335,-2.2666001,-1.897092,-1.4710726,-1.1836394,-0.95519656,-0.759213,-0.5832136,-0.420124,-0.2653679,-0.1156396,0.031714827,0.17906925,0.32879755,0.48355365,0.6466433,0.8226426,1.0186262,1.247069,1.5345023,1.9605216,2.33003,2.759663
26,2015-03-31,0.037645407,-2.6903028,-2.2606697,-1.8911613,-1.465142,-1.1777087,-0.94926596,-0.75328237,-0.577283,-0.41419342,-0.25943732,-0.10970902,0.037645407,0.18499982,0.33472815,0.48948422,0.6525738,0.82857317,1.0245568,1.2529995,1.5404328,1.9664522,2.3359604,2.7655938
27,2015-04-30,0.031794667,-2.6961536,-2.2665203,-1.8970121,-1.4709928,-1.1835595,-0.9551167,-0.7591331,-0.58313376,-0.42004415,-0.26528805,-0.11555976,0.031794667,0.17914909,0.3288774,0.4836335,0.6467231,0.82272243,1.0187061,1.2471489,1.5345821,1.9606014,2.3301096,2.759743
