,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2018-01-31,4.4076095,2.836312,2.9323707,3.0924685,3.4126644,3.6041932,3.7589598,3.8372216,3.8542795,3.9358509,4.146449,4.3410435,4.4076095,4.4741755,4.66877,4.879368,4.9609394,4.9779973,5.056259,5.2110257,5.4025545,5.72275,5.882848,5.9789066
0,2018-02-28,4.007816,1.6049888,1.7285862,1.9345818,2.3465729,2.8208554,3.3129354,3.543595,3.5651183,3.6263227,3.7668886,3.903434,4.007816,4.1121974,4.248743,4.389309,4.4505134,4.4720364,4.7026963,5.194776,5.669059,6.08105,6.2870455,6.4106426
0,2018-03-31,4.793767,2.266895,2.3797877,2.567942,2.9442508,3.0826879,3.1531618,3.479064,4.0093083,4.4073167,4.5408525,4.672972,4.793767,4.9145617,5.0466814,5.1802173,5.5782256,6.10847,6.434372,6.504846,6.6432834,7.019592,7.2077465,7.320639
0,2018-04-30,4.096471,2.302989,2.3890758,2.5325534,2.8195093,2.8859658,2.889423,2.9769526,3.1317408,3.3482385,3.688155,4.00092,4.096471,4.192022,4.5047865,4.844703,5.061201,5.215989,5.303519,5.306976,5.3734326,5.660388,5.803866,5.8899527
0,2018-05-31,5.488273,3.3344467,3.5476408,3.9029646,4.507035,4.6315074,4.714417,4.7245903,4.869052,5.125421,5.225057,5.265918,5.488273,5.7106285,5.751489,5.8511252,6.1074944,6.251956,6.2621293,6.345039,6.4695115,7.0735817,7.4289055,7.6421
0,2018-06-30,3.308847,1.5265044,1.5665357,1.6332545,1.8401463,2.3775826,2.7841148,2.9615655,3.090984,3.180376,3.2180603,3.236354,3.308847,3.3813398,3.3996336,3.4373178,3.5267098,3.6561284,3.833579,4.2401114,4.7775474,4.9844394,5.0511584,5.0911894
0,2018-07-31,1.5932636,-0.46178418,-0.31108093,-0.059908867,0.37853917,0.5294548,0.69378126,0.88157654,1.1206928,1.4025767,1.4832542,1.4884795,1.5932636,1.6980478,1.703273,1.7839506,2.0658345,2.3049507,2.4927459,2.6570723,2.8079882,3.246436,3.4976082,3.6483114
0,2018-08-31,0.9799304,-0.19337709,-0.16586706,-0.12001698,-0.025995607,0.07847128,0.16648345,0.22569986,0.3579022,0.55092615,0.750881,0.95343494,0.9799304,1.0064259,1.2089798,1.4089347,1.6019586,1.7341609,1.7933774,1.8813896,1.9858564,2.0798779,2.125728,2.1532378
0,2018-09-30,0.98580086,-0.18712603,-0.09620717,0.05532425,0.30605724,0.32130584,0.3838629,0.52920973,0.6067947,0.62791157,0.71249235,0.8208721,0.98580086,1.1507297,1.2591094,1.3436902,1.364807,1.442392,1.5877389,1.6502959,1.6655445,1.9162775,2.0678089,2.1587276
0,2018-10-31,1.1871649,-0.6848968,-0.6747792,-0.6579164,-0.49187154,0.26961058,0.7809793,0.85464954,0.9106404,0.95189846,0.9800586,1.0033071,1.1871649,1.3710227,1.3942713,1.4224313,1.4636894,1.5196803,1.5933505,2.1047192,2.8662012,3.032246,3.049109,3.0592268
0,2018-11-30,1.4062828,0.69644374,0.73966706,0.81170595,0.9425361,1.0137522,1.1077167,1.2414906,1.3176309,1.3457432,1.3745428,1.4036002,1.4062828,1.4089653,1.4380227,1.4668224,1.4949347,1.571075,1.7048489,1.7988133,1.8700294,2.0008597,2.0728986,2.116122
0,2018-12-31,0.45318162,-1.4716697,-1.2108152,-0.7760575,-0.05134208,0.021773767,0.07953699,0.1104331,0.14029452,0.16929372,0.28232008,0.42685667,0.45318162,0.47950658,0.62404317,0.73706955,0.7660687,0.79593015,0.8268263,0.8845895,0.9577053,1.6824207,2.1171784,2.3780332
0,2019-01-31,1.9675426,0.41794547,0.5369152,0.7351981,1.0785556,1.1824762,1.2814239,1.3716695,1.4222738,1.4398437,1.6200011,1.8611289,1.9675426,2.0739565,2.3150842,2.4952416,2.5128117,2.5634158,2.6536613,2.7526093,2.8565297,3.1998873,3.39817,3.51714
