,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2018-01-31,0.30933923,-1.3415862,-1.1720871,-0.8895887,-0.32459182,-0.047208004,0.14800063,0.23476003,0.23476003,0.23476003,0.23476003,0.24221794,0.30933923,0.3764605,0.3839184,0.3839184,0.3839184,0.3839184,0.4706778,0.66588646,0.94327027,1.508267,1.7907655,1.9602646
0,2018-02-28,2.1190276,-0.71587825,-0.38985366,0.15352067,1.2402695,1.6793694,1.933427,2.0463414,2.0463414,2.0463414,2.0463414,2.05361,2.1190276,2.1844451,2.1917138,2.1917138,2.1917138,2.1917138,2.3046284,2.5586858,2.9977858,4.0845346,4.6279087,4.9539337
0,2018-03-31,2.5177634,-0.7048646,-0.40904683,0.08398284,1.0700421,1.3383126,1.4015007,1.6824621,2.1376421,2.4410956,2.4410956,2.4487624,2.5177634,2.5867643,2.5944312,2.5944312,2.8978846,3.3530645,3.634026,3.6972141,3.9654846,4.951544,5.4445734,5.7403913
0,2018-04-30,3.9729378,1.340183,1.5023813,1.7727118,2.3133726,2.7672598,3.1963546,3.5188956,3.7561936,3.9143922,3.9143922,3.9202468,3.9729378,4.0256286,4.031483,4.031483,4.189682,4.42698,4.749521,5.178616,5.632503,6.173164,6.4434943,6.6056924
0,2018-05-31,2.30599,0.43391186,0.5291552,0.68789417,1.0494441,1.6093183,2.020693,2.172194,2.2410579,2.2410579,2.2410579,2.2410579,2.30599,2.370922,2.370922,2.370922,2.370922,2.439786,2.591287,3.0026617,3.562536,3.9240859,4.0828247,4.178068
0,2018-06-30,0.5872112,-0.08982124,-0.073241904,-0.04560969,0.02010106,0.1328202,0.2701458,0.45053273,0.5325268,0.5325268,0.5325268,0.5325268,0.5872112,0.6418956,0.6418956,0.6418956,0.6418956,0.72388965,0.90427655,1.0416021,1.1543213,1.220032,1.2476642,1.2642436
0,2018-07-31,-0.25598395,-1.4964299,-1.4268955,-1.3110048,-1.040336,-0.5946741,-0.31107113,-0.31107113,-0.31107113,-0.31107113,-0.3051158,-0.29692718,-0.25598395,-0.21504073,-0.20685212,-0.20089677,-0.20089677,-0.20089677,-0.20089677,0.08270623,0.5283681,0.7990369,0.9149276,0.9844621
0,2018-08-31,0.44930673,0.02583859,0.09129053,0.2003771,0.37950522,0.38293073,0.38672718,0.39117283,0.39319357,0.39319357,0.39319357,0.39319357,0.44930673,0.50541985,0.50541985,0.50541985,0.50541985,0.5074406,0.5118863,0.51568276,0.51910824,0.69823635,0.8073229,0.87277484
0,2018-09-30,-0.29774523,-3.3692281,-3.1369374,-2.7497857,-2.0038576,-1.3856173,-0.8644181,-0.5130411,-0.35332423,-0.35332423,-0.35332423,-0.35332423,-0.29774523,-0.24216622,-0.24216622,-0.24216622,-0.24216622,-0.08244939,0.26892763,0.7901268,1.4083673,2.1542952,2.541447,2.7737377
0,2018-10-31,-0.34824026,-1.9184449,-1.8202063,-1.6564752,-1.3426284,-1.0900502,-0.82400846,-0.53440547,-0.40276778,-0.40276778,-0.40276778,-0.40276778,-0.34824026,-0.29371274,-0.29371274,-0.29371274,-0.29371274,-0.16207501,0.12752798,0.3935697,0.6461479,0.9599947,1.1237258,1.2219644
