,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2013-01-31,1.9751959,-2.5787294,-1.8615172,-1.2446753,-0.53349596,-0.05366669,0.32768643,0.6548534,0.94865954,1.2209146,1.4792582,1.7292085,1.9751959,2.2211833,2.4711337,2.7294772,3.0017323,3.2955384,3.6227055,4.0040584,4.4838877,5.195067,5.811909,6.529121
1,2013-02-28,1.9549735,-2.5989518,-1.8817396,-1.2648977,-0.5537184,-0.073889114,0.307464,0.634631,0.9284371,1.2006922,1.4590358,1.708986,1.9549735,2.2009609,2.4509113,2.7092547,2.98151,3.275316,3.602483,3.983836,4.4636655,5.1748447,5.7916865,6.5088987
2,2013-03-31,2.1970015,-2.3569238,-1.6397116,-1.0228697,-0.3116904,0.16813889,0.549492,0.876659,1.1704651,1.4427202,1.7010638,1.951014,2.1970015,2.4429889,2.6929393,2.9512827,3.223538,3.517344,3.844511,4.225864,4.7056932,5.4168725,6.033715,6.7509265
3,2013-04-30,1.8797177,-2.6742074,-1.9569954,-1.3401535,-0.62897414,-0.14914486,0.23220824,0.5593752,0.85318136,1.1254364,1.38378,1.6337303,1.8797177,2.1257052,2.3756554,2.6339989,2.906254,3.2000601,3.5272272,3.9085803,4.3884096,5.099589,5.7164307,6.433643
4,2013-05-31,2.070798,-2.4831274,-1.7659152,-1.1490732,-0.43789393,0.041935347,0.42328846,0.75045544,1.0442616,1.3165166,1.5748602,1.8248105,2.070798,2.3167853,2.5667357,2.8250792,3.0973344,3.3911405,3.7183075,4.0996604,4.5794897,5.290669,5.907511,6.624723
5,2013-06-30,1.8620737,-2.6918516,-1.9746394,-1.3577975,-0.6466182,-0.1667889,0.21456419,0.5417312,0.8355373,1.1077924,1.366136,1.6160862,1.8620737,2.108061,2.3580115,2.616355,2.8886101,3.1824162,3.5095832,3.8909361,4.3707657,5.081945,5.6987867,6.415999
6,2013-07-31,1.8245002,-2.729425,-2.012213,-1.395371,-0.68419164,-0.20436236,0.17699073,0.5041577,0.79796386,1.0702189,1.3285625,1.5785128,1.8245002,2.0704877,2.320438,2.5787814,2.8510365,3.1448426,3.4720097,3.8533628,4.333192,5.044371,5.6612134,6.3784256
7,2013-08-31,1.5691657,-2.9847596,-2.2675474,-1.6507055,-0.93952614,-0.45969686,-0.07834376,0.24882326,0.54262936,0.8148845,1.073228,1.3231783,1.5691657,1.8151531,2.0651035,2.323447,2.5957022,2.8895082,3.2166753,3.5980282,4.0778575,4.7890368,5.405879,6.1230907
8,2013-09-30,1.6299725,-2.9239528,-2.2067406,-1.5898987,-0.8787194,-0.3988901,-0.017537009,0.30963,0.6034361,0.87569124,1.1340348,1.383985,1.6299725,1.8759599,2.1259103,2.3842537,2.656509,2.950315,3.277482,3.658835,4.1386642,4.8498435,5.466686,6.1838975
9,2013-10-31,1.689124,-2.8648012,-2.1475892,-1.5307472,-0.81956786,-0.33973858,0.04161452,0.36878154,0.66258764,0.93484277,1.1931863,1.4431366,1.689124,1.9351114,2.1850617,2.4434052,2.7156603,3.0094664,3.3366334,3.7179866,4.197816,4.908995,5.525837,6.243049
10,2013-11-30,1.4588867,-3.0950384,-2.3778265,-1.7609844,-1.0498052,-0.56997585,-0.18862273,0.13854429,0.43235037,0.7046055,0.962949,1.2128993,1.4588867,1.7048742,1.9548244,2.213168,2.485423,2.7792292,3.1063962,3.4877493,3.9675786,4.6787577,5.2956,6.012812
11,2013-12-31,1.5741473,-2.9797778,-2.2625659,-1.6457238,-0.9345445,-0.45471522,-0.07336212,0.2538049,0.547611,0.8198661,1.0782096,1.3281599,1.5741473,1.8201348,2.070085,2.3284285,2.6006837,2.8944898,3.2216568,3.60301,4.082839,4.7940183,5.4108605,6.1280727
12,2014-01-31,0.23134004,-4.322585,-3.6053731,-2.988531,-2.2773519,-1.7975225,-1.4161694,-1.0890024,-0.79519635,-0.52294123,-0.2645977,-0.014647411,0.23134004,0.4773275,0.7272778,0.9856213,1.2578764,1.5516825,1.8788495,2.2602026,2.740032,3.4512112,4.0680532,4.7852654
13,2014-02-28,0.3497527,-4.2041726,-3.4869604,-2.8701184,-2.1589391,-1.6791099,-1.2977568,-0.97058976,-0.6767837,-0.40452856,-0.14618507,0.10376525,0.3497527,0.59574014,0.8456904,1.104034,1.376289,1.6700952,1.9972621,2.3786154,2.8584445,3.569624,4.1864657,4.903678
14,2014-03-31,0.4879818,-4.0659432,-3.3487313,-2.7318892,-2.02071,-1.5408808,-1.1595277,-0.8323607,-0.53855455,-0.26629946,-0.007955966,0.24199435,0.4879818,0.7339693,0.98391956,1.2422631,1.5145181,1.8083242,2.1354914,2.5168443,2.9966736,3.7078528,4.324695,5.041907
15,2014-04-30,0.489642,-4.0642834,-3.3470712,-2.7302291,-2.01905,-1.5392206,-1.1578674,-0.83070046,-0.5368944,-0.26463926,-0.0062957676,0.24365455,0.489642,0.73562944,0.9855797,1.2439232,1.5161784,1.8099844,2.1371515,2.5185046,2.998334,3.7095132,4.326355,5.043567
16,2014-05-31,0.5546521,-3.999273,-3.282061,-2.665219,-1.9540398,-1.4742105,-1.0928574,-0.7656904,-0.47188428,-0.19962916,0.058714334,0.30866465,0.5546521,0.80063957,1.0505898,1.3089334,1.5811884,1.8749945,2.2021616,2.5835147,3.063344,3.7745233,4.391365,5.1085773
17,2014-06-30,0.5814907,-3.9724345,-3.2552223,-2.6383805,-1.9272012,-1.4473718,-1.0660188,-0.7388518,-0.44504568,-0.17279056,0.08555293,0.33550325,0.5814907,0.8274782,1.0774285,1.3357719,1.6080271,1.9018332,2.229,2.6103532,3.0901825,3.8013618,4.418204,5.135416
18,2014-07-31,0.3804796,-4.1734457,-3.4562335,-2.8393915,-2.1282122,-1.648383,-1.2670299,-0.93986285,-0.6460568,-0.37380165,-0.11545816,0.13449216,0.3804796,0.62646705,0.87641734,1.1347609,1.4070159,1.7008221,2.0279891,2.4093423,2.8891714,3.6003509,4.2171926,4.934405
19,2014-08-31,0.2709617,-4.2829633,-3.5657513,-2.9489095,-2.2377303,-1.7579008,-1.3765478,-1.0493808,-0.75557464,-0.48331955,-0.22497606,0.024974255,0.2709617,0.5169492,0.76689947,1.0252429,1.2974981,1.5913042,1.9184712,2.2998242,2.7796535,3.4908328,4.1076746,4.824887
