PROVINCE,TIME,MONTH,YEAR,NN_DIR,NN_DIR_LAG,REGION,CASES,DIR,POP,POP_OFFSET,RGN_IND,PROV_IND,SEASON,RATE_DIR,RATE_CASES,RSI_DIR,RSI_DIR_LAG,RSI_DIR_LAG_2,AVG_RSI_DIR_LAG,SQ_RSI_DIR_LAG,SCALED_DIR,SCALED_AVG_RSI_DIR_LAG,SCALED_SQ_RSI_DIR_LAG,SCALED_RSI_DIR_LAG,tmax,tmin,prec,SPI_6,TOTAL,ANOM,E_INDEX,C_INDEX,spei,tmax_roll_2,tmax_roll_3,tmin_roll_2,tmin_roll_3,prec_roll_2,prec_roll_3,OUTBREAK_50_TRUE,OUTBREAK_150_TRUE,longitude,latitude,YEAR_DECIMAL,LAT_PROV_IND,LONG_PROV_IND,PROPN_URBAN_2017,PROPN_URBAN_2007,URBAN_ORDER,PROPN_CONFIRMED,DIFF_WITH_HISTORICAL_DIR_LAG,MODIFIED_DIFF_WITH_HISTORICAL_DIR_LAG,REGION_AREA_KM2,POP_DENSITY,LOG_CASES,LAG_1_LOG_CASES,LAG_2_LOG_CASES,LAG_1_tmin_roll_2,LAG_1_prec_roll_2,end_of_month,unique_id
Huancabamba,19,11,2011,6.1327444808366,5.11265008695595,Piura,0,0,121459.233333333,1.21459233333333,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,23.0300508322536,10.3532343267218,106.484475894665,1.04611484373405,25.58,-1.09,-0.50593,-1.39453,1.14307926041739,22.3680105651351,22.375809827569,9.93910096680953,9.99998338815243,84.3369878166922,64.2840475647322,0,0,-79.5136,-5.4421,2011.83333333333,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.2878784647971,0,0,0,9.82335791886774,43.1838333997658,2011-11-30,Huancabamba
Huancabamba,20,12,2011,0,6.1327444808366,Piura,0,0,121404.641666667,1.21404641666667,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,23.0720123592146,10.5205820791388,182.056549109859,1.05512609047241,25.58,-1.04,-0.29946,-1.56638,2.62608093363898,23.0510315957341,22.6026778298282,10.4369082029303,10.1329280042526,144.270512502262,116.910174914415,0,0,-79.5136,-5.4421,2011.91666666667,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.2751640552831,0,0,0,9.93910096680953,84.3369878166922,2011-12-31,Huancabamba
Huancabamba,21,1,2012,0.935490668363647,0,Piura,0,0,121350.05,1.2135005,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.2681152197747,11.4629721917672,168.517567685151,0.730046199353298,25.77,-0.86,0.26446,-1.61629,2.60874931812286,22.6700637894947,22.7900594704143,10.991777135453,10.7789295325426,175.287058397505,152.352864229892,0,0,-79.5136,-5.4421,2012,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.2624496457691,0,0,0,10.4369082029303,144.270512502262,2012-01-31,Huancabamba
Huancabamba,22,2,2012,10.1271502186151,0.935490668363647,Piura,0,0,121295.458333333,1.21295458333333,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,21.521927638792,11.0869630220273,157.821777764078,0.670605464523354,26.15,-0.72,0.83503,-1.54432,2.17695694395474,21.8950214292834,22.2873517392604,11.2749676068972,11.0235057643111,163.169672724614,169.465298186363,0,0,-79.5136,-5.4421,2012.08333333333,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.2497352362551,0,0,0,10.991777135453,175.287058397505,2012-02-29,Huancabamba
Huancabamba,23,3,2012,19.8713722055867,10.1271502186151,Piura,0,0,121240.866666667,1.21240866666667,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.4283863251271,12.0008472042261,183.996576820403,0.299544316664171,26.71,-0.59,0.62779,-1.30263,1.77734881639481,21.9751569819595,22.0728097278979,11.5439051131267,11.5169274726735,170.90917729224,170.111974089877,0,0,-79.5136,-5.4421,2012.16666666667,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.2370208267411,0,0,0,11.2749676068972,163.169672724614,2012-03-31,Huancabamba
Huancabamba,24,4,2012,12.7255765361732,19.8713722055867,Piura,0,0,121186.275,1.21186275,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,23.049337187282,12.3116216485598,123.666729816896,0.255413234233856,27.21,-0.47,0.94499,-1.18631,1.62238231812205,22.7388617562045,22.3332170504004,12.1562344263929,11.7998106249377,153.831653318649,155.161694800459,0,0,-79.5136,-5.4421,2012.25,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.2243064172271,0,0,0,11.5439051131267,170.90917729224,2012-04-30,Huancabamba
Huancabamba,25,5,2012,24.4923498768164,12.7255765361732,Piura,0,0,121131.683333333,1.21131683333333,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,23.2182796770657,11.7934316754709,25.878944431691,0.19141323957476,27.57,-0.26,0.8763,-1.00227,1.3156874537468,23.1338084321738,22.8986677298249,12.0525266620154,12.0353001760856,74.7728371242934,111.18075035633,0,0,-79.5136,-5.4421,2012.33333333333,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.2115920077131,0,0,0,12.1562344263929,153.831653318649,2012-05-31,Huancabamba
Huancabamba,26,6,2012,9.65084914098753,24.4923498768164,Piura,0,0,121077.091666667,1.21077091666667,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.9902820691717,11.4449815608492,28.6725804136874,0.191789007570116,27.64,-0.01,1.17601,-0.78473,0.79296763922487,23.1042808731187,23.0859663111731,11.6192066181601,11.8500116282933,27.2757624226893,59.4060848874247,0,0,-79.5136,-5.4421,2012.41666666667,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.198877598199,0,0,0,12.0525266620154,74.7728371242934,2012-06-30,Huancabamba
Huancabamba,27,7,2012,7.21082133001702,9.65084914098753,Piura,0,0,121022.5,1.210225,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.9693511412339,11.0456991926642,8.57900431574722,0.0387990023712912,27.54,0.25,0.95478,-0.49545,0.468103529300009,22.9798166052028,23.0593042958238,11.2453403767567,11.4280374763281,18.6257923647173,21.0435097203752,0,0,-79.5136,-5.4421,2012.5,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.186163188685,0,0,0,11.6192066181601,27.2757624226893,2012-07-31,Huancabamba
Huancabamba,28,8,2012,4.12887131484013,7.21082133001702,Piura,0,0,120967.908333333,1.20967908333333,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.8505930429582,10.8714242998106,11.1445230299474,-0.184262177573236,27.32,0.37,0.51975,0.04331,0.0215486533407654,22.9099720920961,22.9367420844546,10.9585617462374,11.1207016844413,9.86176367284732,16.132035919794,0,0,-79.5136,-5.4421,2012.58333333333,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.173448779171,0,0,0,11.2453403767567,18.6257923647173,2012-08-31,Huancabamba
